Date,CPI,Fed Fund Rates,Unemployment  rate,GBP/USD
1/2/1971,5.00,3.72,5.9,2.42
1/3/1971,4.70,3.71,6.0,2.42
1/4/1971,4.20,4.16,5.9,2.42
1/5/1971,4.40,4.63,5.9,2.42
1/6/1971,4.60,4.91,5.9,2.42
1/7/1971,4.40,5.31,6.0,2.42
1/8/1971,4.60,5.57,6.1,2.45
1/9/1971,4.10,5.55,6.0,2.48
1/10/1971,3.80,5.20,5.8,2.49
1/11/1971,3.30,4.91,6.0,2.49
1/12/1971,3.30,4.14,6.0,2.55
1/1/1972,3.30,3.51,5.8,2.59
1/2/1972,3.50,3.30,5.7,2.61
1/3/1972,3.50,3.83,5.8,2.62
1/4/1972,3.50,4.17,5.7,2.61
1/5/1972,3.20,4.27,5.7,2.61
1/6/1972,2.70,4.46,5.7,2.44
1/7/1972,2.90,4.55,5.6,2.45
1/8/1972,2.90,4.81,5.6,2.45
1/9/1972,3.20,4.87,5.5,2.42
1/10/1972,3.40,5.05,5.6,2.34
1/11/1972,3.70,5.06,5.3,2.35
1/12/1972,3.40,5.33,5.2,2.35
1/1/1973,3.60,5.94,4.9,2.38
1/2/1973,3.90,6.58,5.0,2.49
1/3/1973,4.60,7.09,4.9,2.48
1/4/1973,5.10,7.12,5.0,2.49
1/5/1973,5.50,7.84,4.9,2.57
1/6/1973,6.00,8.49,4.9,2.58
1/7/1973,5.70,10.40,4.8,2.50
1/8/1973,7.40,10.50,4.8,2.46
1/9/1973,7.40,10.78,4.8,2.41
1/10/1973,7.80,10.01,4.6,2.44
1/11/1973,8.30,10.03,4.8,2.34
1/12/1973,8.70,9.95,4.9,2.32
1/1/1974,9.40,9.65,5.1,2.29
1/2/1974,10.00,8.97,5.2,2.30
1/3/1974,10.40,9.35,5.1,2.39
1/4/1974,10.10,10.51,5.1,2.42
1/5/1974,10.70,11.31,5.1,2.40
1/6/1974,10.90,11.93,5.4,2.39
1/7/1974,11.50,12.92,5.5,2.39
1/8/1974,10.90,12.01,5.5,2.32
1/9/1974,11.90,11.34,5.9,2.33
1/10/1974,12.10,10.06,6.0,2.34
1/11/1974,12.20,9.45,6.6,2.33
