listingTitile,price,bathrooms,beds,toilets,street,city,state,status,agentContact,imagesProvided,listingURL,dateUpdated
4 Bedroom Terrace Duplex,50000000, ,4, ,,Ajah,Lagos,ServicedNewly Built,08036411790,8,https://www.propertypro.ng/property/4-bedroom-house-for-sale-off-abraham-adesanya-by-atican-beach-okun-ajah-ajah-lagos-1GHYD,03 Apr 2022
4 Bedroom Terrace Duplex With Bq,120000000,0,4,0,Lekki,Lekki,Lagos,ServicedNewly Built,08036411790,17,https://www.propertypro.ng/property/4-bedroom-house-for-sale-ikate-lekki-lagos-5GLJM,22 Apr 2022
Waterfront Land With C Of O For Sale,150000000, , , ,,Lekki,Lagos,ServicedNewly Built,08036411790,6,https://www.propertypro.ng/property/land-for-sale-off-freedom-way-lekki-phase-1-lekki-lagos-1GNKH,09 May 2022
5 Bedroom Fully Detached Duplex,350000000,0,5,0,,Lekki,Lagos,ServicedNewly Built,08036411790,13,https://www.propertypro.ng/property/5-bedroom-house-for-sale-located-in-a-safe-and-secured-estate-osapa-london-lekki-lagos-4GSHQ,03 Jun 2022
5 Bedroom Fully Detached Duplex,250000000,0,5,0,,Lekki,Lagos,ServicedNewly Built,08036411790,18,https://www.propertypro.ng/property/5-bedroom-house-for-sale-lekki-county-estate-ikota-lekki-lagos-1GSHV,03 Jun 2022
4 Bedroom Semi Detached Duplex,90000000,0,4,0,Lekki,Lekki,Lagos,ServicedNewly Built,08036411790,13,https://www.propertypro.ng/property/4-bedroom-house-for-sale-ologolo-lekki-lagos-4GSJM,03 Jun 2022
4 Bedroom Terrace Duplex,450000000,0,4,0,,Ikoyi,Lagos,ServicedNewly Built,08036411790,21,https://www.propertypro.ng/property/4-bedroom-house-for-sale-located-in-a-prime-location-ikoyi-lagos-3GSPU,05 Jun 2022
6 Plots Of Land,12000000, , , ,Sangotedo Lagos,Sangotedo,Lagos,ServicedNewly Built,08036411790,4,https://www.propertypro.ng/property/land-for-sale-sangotedo-lagos-0GSYC,08 Jun 2022
2 Bedroom Apartment,25000000,0,2,0,Ajah,Ajah,Lagos,ServicedNewly Built,08036411790,4,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-sale-lakowe-ajah-lagos-0GTEH,09 Jun 2022
Affordable 3 Bedroom Bungalow,26500000,0,3,0,Ajah,Ajah,Lagos,ServicedNewly Built,08036411790,7,https://www.propertypro.ng/property/3-bedroom-house-for-sale-awoyaya-ajah-lagos-6GTVB,13 Jun 2022
Land For Sale At Abijo,15000000, , , ,,Ajah,Lagos,ServicedNewly Built,08036411790,2,https://www.propertypro.ng/property/land-for-sale-verified-and-secured-land-at-abijo-ajah-lagos-2GUFE,15 Jun 2022
"Luxury 5 Bedroom Fully Detached With Swimming Pool,gym Private Cinema For Sale Osapa London",270000000,6,5,6,,Lekki,Lagos,ServicedNewly Built,09035137760,10,https://www.propertypro.ng/property/5-bedroom-house-for-sale-osapa-london-lekki-lagos-2GVHP,22 Jun 2022
6units Of 4bedroom Terrace House,125000000,0,0,0,,Lekki,Lagos,ServicedNewly Built,07049502652,23,https://www.propertypro.ng/property/house-for-sale-agape-beach-estate-ilasan-lekki-lagos-2GMZE,05 May 2022
550sqm Land,45000000,0,0,0,,Ogudu,Lagos,ServicedNewly Built,07049502652,1,https://www.propertypro.ng/property/land-for-sale-comfort-lagoon-estate-ogudu-orike-ogudu-lagos-4GMZE,05 May 2022
7units Of 2bedroom Flat,50000000,0,0,0,Lekki,Lekki,Lagos,ServicedNewly Built,07049502652,7,https://www.propertypro.ng/property/flat-apartment-for-sale-ilasan-lekki-lagos-8GPZQ,19 May 2022
Well Finished 4 Bedroom Fully Detached Duplex With A Room Bq;,85000000,4,4,5,,Lekki,Lagos,ServicedNewly Built,08082163583,10,https://www.propertypro.ng/property/4-bedroom-house-for-sale-second-tollgate-lekki-lagos-9FSKE,24 Nov 2021
