listingTitile,price,bathrooms,beds,toilets,street,city,state,status,agentContact,imagesProvided,listingURL
Newly Built 4 Bedroom Detached Duplex,13000000,4,4,5,Oniru Victoria,Island,Lagos,ServicedNewly Built,07038641144,8,https://www.propertypro.ng/property/4-bedroom-house-for-rent-oniru-victoria-island-lagos-2GTRV
Newly Built 4 Bedroom Terrace Duplex,9000000,4,4,5,Lekki Phase 1,Lekki,Lagos,ServicedNewly Built,07038641144,8,https://www.propertypro.ng/property/4-bedroom-house-for-rent-lekki-phase-1-lekki-lagos-3GVGK
3 Bedroom Flat,700000,3,3,3,Moses Adebayo Street,Ojodu,Lagos,,08180249383,8,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-moses-adebayo-street-ojodu-lagos-4GVEX
1 Bedroom Apartment,900000,0,1,0,Ago Palace,Okota,Lagos,Newly Built,08036411790,8,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-ago-palace-okota-lagos-8GSKZ
5 Bedroom Fully Detached Duplex,30000000,0,5,0,,Ikoyi,Lagos,ServicedNewly Built,08036411790,8,https://www.propertypro.ng/property/5-bedroom-house-for-rent-ikoyi-lagos-6GSNH
3 Bedroom Semi Detached Duplex,4500000,0,3,0,,Lekki,Lagos,ServicedNewly Built,08036411790,8,https://www.propertypro.ng/property/3-bedroom-house-for-rent-lekki-lagos-3GUED
4 Bedroom Terrace Duplex,8000000,0,4,0,Located In A Safe And Secured Phase2 Osborne Foreshore Estate,Ikoyi,Lagos,ServicedNewly Built,08036411790,8,https://www.propertypro.ng/property/4-bedroom-house-for-rent-located-in-a-safe-and-secured-phase2-osborne-foreshore-estate-ikoyi-lagos-5GUEM
3bedroom Detached Duplex,2000000,0,0,0,Ogudu Orike,Ogudu,Lagos,,07049502652,8,https://www.propertypro.ng/property/house-for-rent-ogudu-orike-ogudu-lagos-3GMZE
3 Bedroom Fully Detached Duplex,15000000,4,3,4,Off Glover Road Old Ikoyi,Ikoyi,Lagos,Serviced,09044442244,8,https://www.propertypro.ng/property/3-bedroom-house-for-rent-off-glover-road-old-ikoyi-ikoyi-lagos-6GRUL
Luxury 3 Bedroom Apartment,10000000,4,3,4,Off Gerard Road Gerard Road,Ikoyi,Lagos,Serviced,09044442244,8,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-off-gerard-road-gerard-road-ikoyi-lagos-6GSQF
3 Bedroom Luxury Apartment With Great Ambience,13000000,4,3,4,Banana Island Estate Banana Island,Ikoyi,Lagos,Serviced,09044442244,8,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-banana-island-estate-banana-island-ikoyi-lagos-1GRUS
Lovely 50 Sqm Office Space With 24/7 Electricity,800000, ,2,2,Okpanam Road,Asaba,Delta,Serviced,07038451502,8,https://www.propertypro.ng/property/2-bedroom-commercial-property-for-rent-okpanam-road-asaba-delta-4GVDB
To Let 4 Bedroom Semi Detached Duplex For Rent,4500000,5,4,5,Lekki Conservation Road Chevron,Lekki,Lagos,Newly Built,09035137760,8,https://www.propertypro.ng/property/4-bedroom-house-for-rent-lekki-conservation-road-chevron-lekki-lagos-2GVCZ
Nicely Built 4 Bedroom Terrace Duplex,4000000,4,4,5,Second Tollgate,Lekki,Lagos,Serviced,08082163583,8,https://www.propertypro.ng/property/4-bedroom-house-for-rent-second-tollgate-lekki-lagos-0GPGB
Newly Built 4 Bedroom Fully Detached Duplex,5500000,4,4,5,Chevron Alternative,Lekki,Lagos,,08082163583,8,https://www.propertypro.ng/property/4-bedroom-house-for-rent-chevron-alternative-lekki-lagos-1GTJE
6 Bedroom Fully Detached House,20000000,6,6,7,Victoria,Island,Lagos,,08082163583,8,https://www.propertypro.ng/property/6-bedroom-house-for-rent-victoria-island-lagos-8GTRN
