listingTitile,price,bathrooms,beds,toilets,street,city,state,status,agentContact,imagesProvided,listingURL
Newly Built 4 Bedroom Fully Detached,85000000,4,4,5,Meridian Boulevard Estate Okun Ajah,Ajah,Lagos,Furnished,08099356899,7,https://www.propertypro.ng/property/4-bedroom-house-for-sale-meridian-boulevard-estate-okun-ajah-ajah-lagos-8GTXZ
Newly Built 4 Bedroom Semi Detached Duplex,75000000,4,4,5,Meridian Boulevard Okun Ajah,Ajah,Lagos,Furnished,08099356899,7,https://www.propertypro.ng/property/4-bedroom-house-for-sale-meridian-boulevard-okun-ajah-ajah-lagos-1GTYA
Newly Built 3 Bedroom Semi Detached Duplex,60500000,3,3,4,Meridian Boulevard Estate Okun Ajah,Ajah,Lagos,Furnished,08099356899,7,https://www.propertypro.ng/property/3-bedroom-house-for-sale-meridian-boulevard-estate-okun-ajah-ajah-lagos-5GTYA
Newly Built 3 Bedroom Terrace Duplex,56500000,3,3,4,Meridian Boulevard Estate Okun Ajah,Ajah,Lagos,FurnishedNewly Built,08099356899,7,https://www.propertypro.ng/property/3-bedroom-house-for-sale-meridian-boulevard-estate-okun-ajah-ajah-lagos-1GTYB
Newly Built 2 Bedroom Terrace Duplex,50500000,2,2,3,Meridian Boulevard Estate Okun Ajah,Ajah,Lagos,FurnishedNewly Built,08099356899,7,https://www.propertypro.ng/property/2-bedroom-house-for-sale-meridian-boulevard-estate-okun-ajah-ajah-lagos-4GTYB
300sqm Of Land,15000000,0,0,0,Queens Garden Annex 11 Isheri North,Ojodu,Lagos,,08099356899,7,https://www.propertypro.ng/property/land-for-sale-queens-garden-annex-11-isheri-north-ojodu-lagos-9GUCZ
Newly Built 2 Bedroom Apartment,34500000,2,2,3,Laguna Beach Apartments Okun Ajah,Ajah,Lagos,FurnishedServicedNewly Built,08099356899,7,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-sale-laguna-beach-apartments-okun-ajah-ajah-lagos-0GUHG
500sqms Of Land,15000000,0,0,0,"Lagoon Front Estate, Alaro City, Epe Resort Epe Road",Epe,Lagos,,08099356899,7,https://www.propertypro.ng/property/land-for-sale-lagoon-front-estate-alaro-city-epe-resort-epe-road-epe-lagos-7GUMG
Roi Cour City Estate,8000000, , , ,Onigbedu/lekki Freetrade Zone/dagote Refiney Ibeju,Ibeju-Lekki,Lagos,,08132874237,7,https://www.propertypro.ng/property/land-for-sale-onigbedu-lekki-freetrade-zone-dagote-refiney-ibeju-lekki-lagos-0GVGT
Plot Of Land Facing The Express,500000000, , , ,Maruwa Lekki Phase 1,Lekki,Lagos,Newly Built,08060623971,7,https://www.propertypro.ng/property/land-for-sale-maruwa-lekki-phase-1-lekki-lagos-7GVFT
400 Sqms Plot Of Land With Old Bungalow,33000000, , , ,Aladinma Housing Estate,Owerri,Imo,,08037372117,7,https://www.propertypro.ng/property/land-for-sale-aladinma-housing-estate-owerri-imo-5GVFK
4 Bedroom Semi Detached Duplex,65000000,4,4,5,"Orchid, Lekki.",Lekki,Lagos,Newly Built,09037606063,7,https://www.propertypro.ng/property/4-bedroom-house-for-sale-orchid-lekki-lekki-lagos-5GPEM
4 Bedroom Terrace Duplex,52000000,4,4,5,Ikota,Lekki,Lagos,Newly Built,09037606063,7,https://www.propertypro.ng/property/4-bedroom-house-for-sale-ikota-lekki-lagos-4GPXT
Luxury 4 Bedroom Terrace Duplex,90000000,4,4,5,Ologolo Ologolo,Lekki,Lagos,Newly Built,09037606063,7,https://www.propertypro.ng/property/4-bedroom-house-for-sale-ologolo-ologolo-lekki-lagos-0GQTK
