listingTitile,price,bathrooms,beds,toilets,street,city,state,status,agentContact,imagesProvided,listingURL,dateUpdated
Newly Built 4 Bedroom Fully Detached Duplex,5500000,4,4,5,Chevron Alternative,Lekki,Lagos,FurnishedServiced,08082163583,10,https://www.propertypro.ng/property/4-bedroom-house-for-rent-chevron-alternative-lekki-lagos-1GTJE,09 Jun 2022
3 Bedroom Apartment,4500000,3,3,4,Osapa London,Lekki,Lagos,FurnishedServiced,08177766550,18,https://www.propertypro.ng/property/3-bedroom-house-for-rent-osapa-london-lekki-lagos-8GPXZ,18 May 2022
5 Bedroom Semi Detached House,10000000,5,5,6,Cowrie Creek Ikate,Lekki,Lagos,FurnishedServiced,08054797512,9,https://www.propertypro.ng/property/5-bedroom-house-for-rent-cowrie-creek-ikate-lekki-lagos-8GQEH,20 May 2022
Luxury 3 Bedroom Terrace House,25000000,3,3,4,Banana Island Estate,Ikoyi,Lagos,FurnishedServiced,08124269637,2,https://www.propertypro.ng/property/3-bedroom-house-for-rent-banana-island-estate-ikoyi-lagos-0GRDZ,26 May 2022
Newly Build 12 Bedroom Mansion,40000000,1,1,1,Opp World Bank,Asokoro,Abuja,FurnishedServiced,08053979149,12,https://www.propertypro.ng/property/10-bedroom-house-for-rent-opp-world-bank-asokoro-abuja-1GPCX,13 May 2022
Newly Built 4bedroom Terrace Duplex,7000000,4,4,5,Close To Fairview School,Guzape,Abuja,FurnishedServiced,08053979149,21,https://www.propertypro.ng/property/4-bedroom-house-for-rent-close-to-fairview-school-guzape-abuja-8GQWW,24 May 2022
4 Bedroom Semi Detached Terrace House,13000000,4,4, ,Old Ikoyi,Ikoyi,Lagos,old,08124269637,1,https://www.propertypro.ng/property/4-bedroom-house-for-rent-old-ikoyi-ikoyi-lagos-2GREN,26 May 2022
6 Bedroom Fully Detached House,20000000,6,6,7,Victoria,Island,Lagos,old,08082163583,6,https://www.propertypro.ng/property/6-bedroom-house-for-rent-victoria-island-lagos-8GTRN,11 Jun 2022
Fully Serviced 3 Bedroom Semi Detached Duplex,4000000,4,3,4,Bera Estate Chevron,Lekki,Lagos,Newly Built,09035137760,10,https://www.propertypro.ng/property/3-bedroom-house-for-rent-bera-estate-chevron-lekki-lagos-8GUUD,19 Jun 2022
5 Bedroom Semi Detached Duplex,20000000,5,4,5,Off Banana Island Road,Ikoyi,Lagos,Newly Built,09035137760,8,https://www.propertypro.ng/property/4-bedroom-house-for-rent-off-banana-island-road-ikoyi-lagos-8GUKS,16 Jun 2022
Newly Built & Tastefully Finished 3bedroom Terrace Duplex + A Room Bq......,7000000,4,3,5,Ikeja Gra,Ikeja,Lagos,Newly Built,08167742895,15,https://www.propertypro.ng/property/3-bedroom-house-for-rent-ikeja-gra-ikeja-lagos-2GNMH,09 May 2022
2 Bedroom Flat,650000,3,2,3,Ire Akari Estate Soka,Ibadan,Oyo,Newly Built,08147747114,11,https://www.propertypro.ng/property/2-bedroom-house-for-rent-ire-akari-estate-soka-ibadan-oyo-3GRPA,29 May 2022
3 Bedroom Apartment,5000000,4,3,4,Ikate,Lekki,Lagos,Newly Built,09035137760,8,https://www.propertypro.ng/property/3-bedroom-house-for-rent-ikate-lekki-lagos-1GUDH,15 Jun 2022
4 Bedroom Detached Duplex,6500000,5,4,5,Chevron,Lekki,Lagos,Newly Built,09035137760,8,https://www.propertypro.ng/property/4-bedroom-house-for-rent-chevron-lekki-lagos-2GSSH,06 Jun 2022
2 Bedroom Apartment,8000000,3,2,3,Victoria,Island,Lagos,Newly Built,09035137760,10,https://www.propertypro.ng/property/2-bedroom-house-for-rent-victoria-island-lagos-8GPKZ,15 May 2022
Fully Serviced 4 Bedrooms Massionette,10500000,5,4,5,Oniru Victoria,Island,Lagos,Newly Built,09035137760,20,https://www.propertypro.ng/property/4-bedroom-house-for-rent-oniru-victoria-island-lagos-0GPLC,15 May 2022
4 Bedroom Semi Detached Duplex,5000000,5,4,5,Ikota,Lekki,Lagos,Newly Built,09035137760,10,https://www.propertypro.ng/property/4-bedroom-house-for-rent-ikota-lekki-lagos-0GMTA,03 May 2022
4 Bedroom Semi Detached Duplex,6000000,5,4,5,Ologolo,Lekki,Lagos,Newly Built,09035137760,10,https://www.propertypro.ng/property/4-bedroom-house-for-rent-ologolo-lekki-lagos-5GNAS,05 May 2022
4 Bedroom Semi Detached Duplex,4000000,5,4,5,Ikota,Lekki,Lagos,Newly Built,09035137760,10,https://www.propertypro.ng/property/4-bedroom-house-for-rent-ikota-lekki-lagos-3GNAT,05 May 2022
